[Epoch 044] train_loss=0.6680 acc=0.6708 f1=0.6536 | val_loss=0.6537 acc=0.7053 f1=0.6886 | epoch_time=0.13s
[Epoch 045] train_loss=0.6665 acc=0.6803 f1=0.6641 | val_loss=0.6550 acc=0.7093 f1=0.6955 | epoch_time=0.13s
[Epoch 046] train_loss=0.6652 acc=0.6833 f1=0.6661 | val_loss=0.6542 acc=0.6983 f1=0.6834 | epoch_time=0.13s
[Epoch 047] train_loss=0.6600 acc=0.6813 f1=0.6654 | val_loss=0.6547 acc=0.7003 f1=0.6870 | epoch_time=0.13s
[Epoch 048] train_loss=0.6638 acc=0.6763 f1=0.6594 | val_loss=0.6601 acc=0.6913 f1=0.6718 | epoch_time=0.13s
[Epoch 049] train_loss=0.6674 acc=0.6726 f1=0.6556 | val_loss=0.6498 acc=0.6993 f1=0.6867 | epoch_time=0.13s
[Epoch 050] train_loss=0.6614 acc=0.6818 f1=0.6661 | val_loss=0.6516 acc=0.7063 f1=0.6934 | epoch_time=0.13s
[Epoch 051] train_loss=0.6631 acc=0.6723 f1=0.6561 | val_loss=0.6493 acc=0.7093 f1=0.6974 | epoch_time=0.13s
[Epoch 052] train_loss=0.6650 acc=0.6823 f1=0.6670 | val_loss=0.6501 acc=0.7073 f1=0.6954 | epoch_time=0.13s
[Epoch 053] train_loss=0.6623 acc=0.6808 f1=0.6648 | val_loss=0.6510 acc=0.6983 f1=0.6823 | epoch_time=0.13s
[Epoch 054] train_loss=0.6557 acc=0.6813 f1=0.6643 | val_loss=0.6501 acc=0.7063 f1=0.6932 | epoch_time=0.13s
[Epoch 055] train_loss=0.6569 acc=0.6853 f1=0.6710 | val_loss=0.6472 acc=0.7063 f1=0.6910 | epoch_time=0.13s
[Epoch 056] train_loss=0.6567 acc=0.6798 f1=0.6634 | val_loss=0.6469 acc=0.7073 f1=0.6946 | epoch_time=0.13s
[Epoch 057] train_loss=0.6496 acc=0.6853 f1=0.6688 | val_loss=0.6478 acc=0.7043 f1=0.6908 | epoch_time=0.13s
[Epoch 058] train_loss=0.6566 acc=0.6826 f1=0.6670 | val_loss=0.6441 acc=0.7053 f1=0.6919 | epoch_time=0.13s
[Epoch 059] train_loss=0.6477 acc=0.6851 f1=0.6691 | val_loss=0.6418 acc=0.7093 f1=0.6979 | epoch_time=0.13s
[Epoch 060] train_loss=0.6513 acc=0.6880 f1=0.6741 | val_loss=0.6477 acc=0.7013 f1=0.6897 | epoch_time=0.13s
[Epoch 061] train_loss=0.6486 acc=0.6843 f1=0.6681 | val_loss=0.6445 acc=0.7103 f1=0.6971 | epoch_time=0.13s
[Epoch 062] train_loss=0.6538 acc=0.6818 f1=0.6655 | val_loss=0.6459 acc=0.7043 f1=0.6922 | epoch_time=0.13s
[Epoch 063] train_loss=0.6482 acc=0.6836 f1=0.6685 | val_loss=0.6436 acc=0.7103 f1=0.6980 | epoch_time=0.13s
[Epoch 064] train_loss=0.6531 acc=0.6851 f1=0.6681 | val_loss=0.6434 acc=0.7063 f1=0.6920 | epoch_time=0.13s
[Epoch 065] train_loss=0.6508 acc=0.6883 f1=0.6727 | val_loss=0.6427 acc=0.7113 f1=0.6990 | epoch_time=0.13s
