iter	MultiClass
194	0.3466735938
195	0.3455877898
196	0.343825246
197	0.3424286684
198	0.3418673095
199	0.34088241
200	0.3394118514
201	0.3375936493
202	0.3357904491
203	0.334720745
204	0.3329561499
205	0.3322178949
206	0.3316352185
207	0.3305406551
208	0.3290282342
209	0.3276524099
210	0.3265081725
211	0.3255661307
212	0.3251427368
213	0.3242028586
214	0.3223649306
215	0.3214611773
216	0.3206495178
217	0.3193823494
218	0.3182992102
219	0.3173602645
220	0.3156770955
221	0.3144035502
222	0.3135780887
223	0.312734428
224	0.3121289842
225	0.3111744727
226	0.3099830903
227	0.307959339
228	0.3069669328
229	0.305548704
230	0.3045414262
231	0.3032349759
232	0.3024110805
233	0.3012034857
234	0.2995541587
235	0.2978775617
236	0.2969384644
237	0.2955390944
238	0.2937966156
239	0.2926841136
240	0.2922528165
241	0.291038667
242	0.2904806791
243	0.289742445
244	0.2892504073
245	0.2887663092
246	0.2878892998
247	0.2869833854
248	0.2860212132
249	0.285551239
250	0.2844797961
251	0.283489444
252	0.2822702305
253	0.2813688212
254	0.2806398971
255	0.2802352928
256	0.2796794045
257	0.2792577306
258	0.2782237062
259	0.2773894659
260	0.2761957151
261	0.2751920367
262	0.274344026
263	0.2737612663
264	0.2727788024
265	0.2718215352
266	0.2708233393
267	0.2693298519
268	0.2682016607
269	0.2675524224
270	0.2668346459
271	0.2666090333
272	0.2655497053
273	0.2644529882
274	0.2631889568
275	0.2621698741
276	0.2612232332
277	0.2605722389
278	0.2592668463
279	0.2576552867
280	0.2566658777
281	0.2559233071
282	0.255437798
283	0.2545872788
284	0.2530777628
285	0.2523600833
286	0.2513375126
287	0.2510024921
288	0.250534148
289	0.2493308011
290	0.2479191995
291	0.2471666523
292	0.246370482
293	0.2452068778
294	0.2438095214
295	0.2431606316
296	0.2420756312
297	0.2416460597
298	0.2404858358
299	0.2395794324
300	0.2388496802
301	0.2374944527
302	0.2366502953
303	0.2360390495
304	0.2351249187
305	0.2342998444
306	0.2336117023
307	0.2327889511
308	0.2322674976
309	0.2317430519
310	0.230857204
311	0.2303479816
312	0.2292563972
313	0.2282689926
314	0.2273427006
315	0.2269652329
316	0.2260372867
317	0.2250563426
318	0.2246271928
319	0.2242556492
320	0.2229681713
321	0.222422519
322	0.2217419573
323	0.2208584738
324	0.2202893224
325	0.2199028166
326	0.2189042835
327	0.2184765942
328	0.2176649557
329	0.2170541893
330	0.2165542803
331	0.2162933543
332	0.2154376052
333	0.2147589082
334	0.2139577348
335	0.2135628343
336	0.2125675812
337	0.2122458283
338	0.2113380252
339	0.2104436877
340	0.2093905769
341	0.2087835946
342	0.2082098702
343	0.2076590853
344	0.2073242086
345	0.2062392397
346	0.2058466959
347	0.2051829398
348	0.2040155449
349	0.2033600961
350	0.2029125726
351	0.2020711483
352	0.2017966317
353	0.2010132115
354	0.2001490118
355	0.1994421001
356	0.1985307088
357	0.1975661342
358	0.1970221704
359	0.1966882702
360	0.1961158554
361	0.1957102502
362	0.1950393845
363	0.1947974614
364	0.1944089701
365	0.1939583771
366	0.1934074467
367	0.192947969
368	0.1924716761
369	0.1914127188
370	0.1910249154
371	0.1904303305
372	0.1900429632
373	0.1892822012
374	0.1881620371
375	0.1876409588
376	0.1867544404
377	0.1860753367
378	0.185421786
379	0.1847572444
380	0.1841361113
381	0.1838512396
382	0.1835392919
383	0.1830108999
384	0.1823409719
385	0.181635571
386	0.1809444884
387	0.1800898677
388	0.1797115354
389	0.1792769258
390	0.1786322899
391	0.1780274963
392	0.1771607337
393	0.1768156528
394	0.1763205173
395	0.1757829985
396	0.1755519207
397	0.1750663293
398	0.1738388582
399	0.1733555831
400	0.1728902133
401	0.1726650893
402	0.1720062053
403	0.1713672563
404	0.1704959737
405	0.1700707667
406	0.1695517702
407	0.1690889368
408	0.1687044927
409	0.1682048439
410	0.1679299228
411	0.1675264197
412	0.1669976118
413	0.1666063577
414	0.1659424097
415	0.165608793
416	0.165442145
417	0.1650916931
418	0.1646073638
419	0.1644772258
420	0.163747505
421	0.1630193256
422	0.1623465327
423	0.1616025611
424	0.1611500111
425	0.1607629432
426	0.1605657199
427	0.1598572904
428	0.1592530393
429	0.1588172766
430	0.1585383876
431	0.1582837198
432	0.1576207453
433	0.1571511571
434	0.156872924
435	0.1565690075
436	0.1560832155
437	0.1557016284
438	0.1549571176
439	0.1543660731
440	0.1536665049
441	0.1528931362
442	0.1521793886
443	0.1515593959
444	0.1508206254
445	0.150296748
446	0.1500546146
447	0.1494947288
448	0.1490518167
449	0.1487158379
450	0.1482536294
451	0.1478771571
452	0.1475908072
453	0.1474030365
454	0.1471212371
455	0.1466945457
456	0.1462078495
457	0.1457594616
458	0.1451034649
459	0.144687663
460	0.1442465524
461	0.1438252185
462	0.1433141543
463	0.1428079008
464	0.1424582066
465	0.1421502197
466	0.1417576353
467	0.1412180704
468	0.140659767
469	0.1402703211
470	0.1397002241
471	0.1392989941
472	0.1386452376
473	0.1384167652
474	0.1380754461
475	0.1377549702
476	0.1375923087
477	0.1371641565
478	0.1366627551
479	0.1362937726
480	0.1360112761
481	0.1355824246
482	0.135261122
483	0.1350359738
484	0.1347936795
485	0.1340674275
486	0.1335615504
487	0.1331307199
488	0.1330161428
489	0.1323321066
490	0.132111132
491	0.1318569949
492	0.1312627238
493	0.1308166503
494	0.1303664342
495	0.1298565959
496	0.1294745094
497	0.1292887887
498	0.1288224499
499	0.1285474755
500	0.1281622732
501	0.1276111228
502	0.1270022122
503	0.1267085558
504	0.1264270488
505	0.1259563327
506	0.1255642643
507	0.1250188983
508	0.1247268665
509	0.1245263934
510	0.1243607171
511	0.1241326022
512	0.1236582504
513	0.1233790395
514	0.1230622393
515	0.1228170752
516	0.1225651991
517	0.1220773674
518	0.1219059022
519	0.1216828124
520	0.1214285503
521	0.1208998243
522	0.1206361898
523	0.1203840283
524	0.1200012549
525	0.1197608835
526	0.1194453655
527	0.1190774411
528	0.1187437541
529	0.1183208664
530	0.1182158661
531	0.117734328
532	0.1174292323
533	0.1172049694
534	0.1169341751
535	0.1167597533
536	0.1164142368
537	0.1161895659
538	0.1158534869
539	0.1153684203
540	0.1151477104
541	0.1149811543
542	0.1145874828
543	0.1143200371
544	0.1138672032
545	0.113598137
546	0.1134908647
547	0.1133629718
548	0.1131562075
549	0.1127880797
550	0.1121756409
551	0.1118391945
552	0.1116905
553	0.1111890004
554	0.1108292074
555	0.1103841019
556	0.1101266258
557	0.1099825152
558	0.1096359738
559	0.1092720338
560	0.1089067389
561	0.108680984
562	0.1084648282
563	0.1083253935
564	0.1080001116
565	0.1077716549
566	0.107495696
567	0.1071442577
568	0.1067805646
569	0.1063924401
570	0.1060077932
571	0.1058934642
572	0.1055735803
573	0.1053383558
574	0.1049715034
575	0.1047966353
576	0.1044110468
577	0.103971863
578	0.103765795
579	0.1035174668
580	0.1033161771
581	0.1028988378
582	0.1025671884
583	0.1020848775
584	0.1017787667
585	0.1015451758
586	0.1010812622
587	0.1009597155
588	0.1008053982
589	0.1005659782
590	0.1004611218
591	0.1000625356
592	0.0999023887
593	0.09958395466
594	0.09934222061
595	0.0991756628
596	0.09877505416
597	0.09861333647
598	0.09818518002
599	0.09794249303
600	0.09779665255
601	0.09761697321
602	0.09735564772
603	0.09681784771
604	0.09666634933
605	0.09642628069
606	0.09606914948
607	0.09572681688
608	0.09539380744
609	0.09491137699
610	0.09481985326
611	0.09461549864
612	0.09446849984
613	0.09425461946
614	0.09401698555
615	0.09370851538
616	0.09357202985
617	0.09347188821
618	0.09321471647
619	0.09297624472
620	0.09287421228
621	0.09271210187
622	0.09257723559
623	0.09231651239
624	0.09197167463
625	0.09160336921
626	0.09121136978
627	0.09103795034
628	0.09096886157
629	0.09080693836
630	0.0906361737
631	0.0903266043
