SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,SFR,BulgeMass,EffectiveRadius,VelocityDispersion,Metallicity
668284,93,-1,452775317.4,-18.0217,-18.3133,-18.4767,-18.5977,0.2916,0.455,0.171148176,270139000,0.8942,46.7354,0.0124627
668448,93,-1,578181281.4,-18.4628,-18.6488,-18.7731,-18.8745,0.186,0.3103,0.415612178,356438000,0.9135,46.2357,0.0147689
668989,93,-1,416179509.9,-17.9954,-18.2953,-18.467,-18.5963,0.2999,0.4716,0.179190482,156692000,0.8682,42.8523,0.015274
669396,93,-1,300679067,-18.4088,-18.5965,-18.7142,-18.8034,0.1877,0.3054,0.332590452,206133000,0.9373,47.4902,0.0107053
669497,93,1,346147032.8,-18.3944,-18.6313,-18.7684,-18.8706,0.2369,0.374,0.295801742,106457000,0.9142,50.3151,0.0107291
669605,93,-1,524092116.9,-17.8154,-18.0264,-18.1644,-18.277,0.211,0.349,0.170193468,490715000,0.4446,36.1577,0.0190954
669679,93,-1,587776793.6,-17.8519,-18.1868,-18.3794,-18.5266,0.3349,0.5275,0.140697648,127224000,0.9596,54.0863,0.0173844
669741,93,1,667449070,-18.5665,-18.788,-18.9258,-19.0343,0.2215,0.3593,0.335629837,1024230000,1.2687,48.575,0.0128917
669910,93,1,424062592.3,-18.7141,-18.9112,-19.0311,-19.1243,0.1971,0.317,0.449265205,137458000,1.1101,47.9555,0.0113729
670054,93,-1,258695010.3,-17.2856,-17.6444,-17.8311,-17.9596,0.3588,0.5455,0.059930203,312480000,0.725,45.2218,0.0110858
670055,93,1,94286979.63,-16.4049,-16.6369,-16.7688,-16.8666,0.232,0.3639,0.051836884,,0.444,33.7611,0.0098721
670152,93,1,124963094.2,-17.2416,-17.4551,-17.5786,-17.6703,0.2135,0.337,0.094721918,,0.5361,42.4123,0.0101425
670153,93,1,69678181.28,-16.593,-16.8279,-16.9566,-17.046,0.2349,0.3636,0.039488975,,0.5159,27.2681,0.00792346
670513,93,-1,1441467375,-18.9642,-19.234,-19.4037,-19.5402,0.2698,0.4395,0.515032282,621015000,1.8176,54.0465,0.0189661
670788,93,-1,1041703572,-19.0767,-19.3708,-19.5434,-19.6762,0.2941,0.4667,0.496960114,359129000,1.4597,53.4425,0.0162814
671297,93,1,394508414.5,-18.3292,-18.6026,-18.7576,-18.8699,0.2734,0.4284,0.196068274,361297000,0.8453,49.4394,0.0114053
672839,93,-1,342604074.4,-18.1789,-18.3784,-18.5015,-18.5969,0.1995,0.3226,0.246676111,133106000,0.7896,50.9082,0.0117326
673006,93,-1,282344257.5,-17.9276,-18.1374,-18.2694,-18.372,0.2098,0.3418,0.202942729,56474300,1.0534,39.6865,0.0131682
673701,93,1,1401195748,-18.8192,-19.1156,-19.2833,-19.411,0.2964,0.4641,0.357329626,539844000,1.6577,48.159,0.0186474
674131,93,-1,324313551.8,-18.784,-19.1026,-19.2782,-19.4064,0.3186,0.4942,0.334738549,170698000,0.9946,52.7269,0.0113405
675683,93,-1,430292294.1,-18.7094,-18.9554,-19.0962,-19.1993,0.246,0.3868,0.328012888,290389000,0.9933,47.5647,0.0108652
675758,93,1,368157661.6,-17.8522,-18.1294,-18.2827,-18.3951,0.2772,0.4305,0.163860198,173495000,0.791,42.2303,0.0128016
676477,93,1,451166223.8,-18.4656,-18.6797,-18.8051,-18.9002,0.2141,0.3395,0.314188893,465756000,1.1351,46.5255,0.0119952
677178,93,1,2093681724,-18.594,-18.9849,-19.207,-19.3815,0.3909,0.613,0.268895378,365967000,1.6422,51.7965,0.021338
677249,93,1,551180986.1,-17.8618,-18.1917,-18.376,-18.5108,0.3299,0.5142,0.141206167,596930000,0.8858,44.4749,0.0139971
677570,93,1,371154413.9,-18.529,-18.7064,-18.816,-18.9013,0.1774,0.287,0.37916873,573397000,0.7916,45.4302,0.011851
677571,93,1,45556539.71,-15.3901,-15.7231,-15.9002,-16.0204,0.333,0.5101,0.012597048,,0.3687,29.0234,0.00926019
677838,93,1,245025096,-17.7104,-18.0131,-18.1792,-18.2958,0.3027,0.4688,0.131172602,97315900,0.7544,48.8506,0.0106083
677972,93,-1,88485385.3,-15.891,-16.3655,-16.6085,-16.7666,0.4745,0.7175,0.011107999,,0.4531,32.5909,0.0108866
678105,93,-1,279687038.7,-17.8263,-18.0482,-18.1809,-18.2808,0.2219,0.3546,0.161398429,164545000,0.6519,39.0894,0.0129247
678387,93,-1,38588721.58,-15.9224,-16.2065,-16.3657,-16.4715,0.2841,0.4433,0.0257147,,0.3406,37.4799,0.00817629
679135,93,-1,2758621199,-18.6924,-19.1104,-19.3426,-19.5194,0.418,0.6502,0.34596176,208137000,1.8734,53.5126,0.0231412
679260,93,1,993179805.1,-18.6406,-18.9778,-19.1579,-19.2917,0.3372,0.5173,0.294950028,1117960000,1.084,51.3876,0.0184093
679529,93,1,1052155300,-18.1688,-18.5851,-18.8012,-18.9609,0.4163,0.6324,0.125469187,659728000,0.9094,48.1882,0.0216561
679752,93,1,528683200.5,-17.9191,-18.2545,-18.4394,-18.5729,0.3354,0.5203,0.143006324,551694000,0.9619,47.3498,0.0143854
680697,93,-1,458562149.4,-18.3734,-18.6586,-18.8164,-18.9316,0.2852,0.443,0.235548635,131981000,1.0768,44.9095,0.0122286
681215,93,1,300531443.8,-17.7823,-18.0649,-18.2215,-18.3347,0.2826,0.4392,0.13594461,345829000,0.8096,47.2267,0.0113473
682485,93,-1,855845881.3,-18.4579,-18.7352,-18.9013,-19.0314,0.2773,0.4434,0.300143854,489080000,1.23,49.9603,0.0163948
683424,93,1,73058754.06,-17.2385,-17.3813,-17.4722,-17.54,0.1428,0.2337,0.117410507,,0.5179,38.3132,0.00741785
683697,93,-1,316415707.1,-18.0483,-18.3194,-18.4692,-18.5742,0.2711,0.4209,0.200470108,162581000,0.7411,45.9709,0.0104989
683762,93,-1,780513729,-18.5977,-18.8523,-19.0039,-19.1203,0.2546,0.4062,0.350702149,84919400,1.3822,47.5668,0.0138902
683935,93,1,1151225273,-18.7127,-19.0816,-19.2747,-19.4115,0.3689,0.562,0.260364911,245261000,1.3129,50.3616,0.0138505
684441,93,-1,266120460.6,-17.2105,-17.5774,-17.7759,-17.9147,0.3669,0.5654,0.089472043,420852000,0.7176,46.5006,0.0120379
684683,93,1,428196043.7,-17.8714,-18.1624,-18.331,-18.4561,0.291,0.4596,0.169135114,623750000,0.9985,46.2012,0.0135191
686565,93,1,111130794.2,-17.696,-17.9355,-18.0668,-18.1569,0.2395,0.3708,0.122466384,,0.4885,43.9142,0.00768169
686766,93,1,719619132,-18.2846,-18.6018,-18.7722,-18.8958,0.3172,0.4876,0.227206329,378003000,1.283,45.6889,0.0131958
687543,93,-1,1022187777,-18.2711,-18.5859,-18.7691,-18.9098,0.3148,0.498,0.226269893,254173000,1.4232,49.3138,0.0183352
688617,93,-1,325125479.8,-17.5978,-17.929,-18.1086,-18.2358,0.3312,0.5108,0.114638055,266747000,0.7366,43.5892,0.0127466
689894,93,-1,58311189.84,-17.0995,-17.2399,-17.3318,-17.3994,0.1404,0.2323,0.126011712,,0.4305,43.8225,0.00769566
690064,93,-1,378624151.2,-18.3298,-18.5103,-18.628,-18.7214,0.1805,0.2982,0.324099296,541710000,0.8156,47.7909,0.0134048
690125,93,-1,579819899.6,-18.6017,-18.8458,-18.9948,-19.1084,0.2441,0.3931,0.374789878,227672000,1.2359,46.3461,0.0111952
690296,93,-1,456628284.6,-17.8,-18.114,-18.2859,-18.4121,0.314,0.4859,0.143597592,468141000,0.9275,46.0167,0.0141322
690370,93,-1,600398582.8,-18.0865,-18.388,-18.5589,-18.6859,0.3015,0.4724,0.188306836,212576000,1.0301,45.2344,0.0127381
690742,93,-1,525258340.7,-17.6618,-17.9112,-18.0653,-18.1858,0.2494,0.4035,0.157729046,131413000,1.0687,40.9131,0.0157853
690848,93,-1,863773250.7,-18.5829,-18.8326,-18.9827,-19.0999,0.2497,0.3998,0.306207474,136348000,1.3264,45.1208,0.0131122
691260,93,1,212267493.4,-17.3688,-17.7416,-17.925,-18.0472,0.3728,0.5562,0.066059423,297257000,0.7272,36.9005,0.0101747
691368,93,-1,510761736,-18.9662,-19.0481,-19.1151,-19.1721,0.0819,0.1489,0.618315065,373869000,1.0895,64.02,0.00965262
692015,93,1,580233244.8,-17.9649,-18.3001,-18.4911,-18.6331,0.3352,0.5262,0.167655758,515355000,1.0952,47.4958,0.0140414
692328,93,-1,157307351.6,-16.9745,-17.2451,-17.4069,-17.5284,0.2706,0.4324,0.11998641,,0.5981,48.3589,0.0116962
692978,93,-1,458591674,-18.2411,-18.4382,-18.5613,-18.6593,0.1971,0.3202,0.297633086,254148000,1.1882,43.9087,0.0126977
693198,93,1,207809270.7,-17.6341,-17.8845,-18.0343,-18.1474,0.2504,0.4002,0.10829152,155180000,0.7091,44.0485,0.010208
693608,93,1,302288160.6,-18.2049,-18.4631,-18.6138,-18.7247,0.2582,0.4089,0.210321604,149323000,0.7396,46.2835,0.0106983
693756,93,-1,151225273.1,-17.4501,-17.6547,-17.7775,-17.868,0.2046,0.3274,0.127508095,,0.6286,37.4716,0.00992229
694401,93,-1,578993209.3,-18.2195,-18.5226,-18.6954,-18.8238,0.3031,0.4759,0.219008072,132987000,1.1206,46.38,0.0130886
694461,93,1,194729849.4,-17.2869,-17.5604,-17.7147,-17.8235,0.2735,0.4278,0.111385468,,0.619,43.6098,0.00982997
694507,93,1,127886034.8,-17.5598,-17.7807,-17.9059,-17.997,0.2209,0.3461,0.129708817,,0.6388,43.0682,0.00894301
694952,93,-1,349571892.5,-17.8123,-18.0853,-18.2448,-18.3644,0.273,0.4325,0.177730415,359964000,0.8786,49.3387,0.0127026
695482,93,-1,119176262.2,-17.5702,-17.7908,-17.9167,-18.0099,0.2206,0.3465,0.16985668,,0.5649,42.6625,0.00934612
695954,93,1,516917626.2,-18.1434,-18.4478,-18.62,-18.7463,0.3044,0.4766,0.253174598,590607000,0.8989,46.7761,0.0128962
696560,93,-1,247298494.2,-18.1929,-18.3899,-18.51,-18.6005,0.197,0.3171,0.266115557,172593000,0.8642,45.8233,0.0100004
696677,93,-1,646530853.3,-17.8862,-18.1984,-18.3768,-18.5088,0.3122,0.4906,0.163796017,208975000,1.1373,43.4517,0.0150836
697778,93,-1,1348331857,-18.355,-18.6859,-18.8784,-19.0273,0.3309,0.5234,0.235261891,96485700,1.5831,46.7322,0.0192342
698121,93,-1,295408916.4,-18.0568,-18.2281,-18.339,-18.4278,0.1713,0.2822,0.290807384,126186000,0.6986,50.4902,0.0136009
698466,93,-1,67921464.42,-16.4359,-16.717,-16.8697,-16.9726,0.2811,0.4338,0.051504388,,0.4909,37.498,0.00829119
698606,93,-1,261455565.4,-17.613,-17.9292,-18.0989,-18.2193,0.3162,0.4859,0.125571553,269799000,0.7843,41.4236,0.0119172
