ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_279,0,2.4646068,2.3568187,2.3449395,-0.36916593,0.50070924,-0.2096729,0.46675617,-0.47979087,1.5296489,1.2591021,1.0235475,1.1704761,0.9448934,0.8484134,-0.15534341,0.7702631,-0.81635886
91_282,0,2.6306689,2.4890337,2.4819276,-0.36916593,0.87414455,0.8432405,0.31671175,-0.48645636,1.5776724,1.2852951,1.036921,1.1916555,0.9540568,0.8520035,-0.1520172,0.91110474,-0.75419056
91_289,0,2.6789865,2.5165787,2.5073438,-0.36916593,0.63085794,-0.095508836,0.61639166,-0.45684618,1.5681444,1.2680905,1.0168334,1.1732266,0.93345267,0.83089155,-0.15106183,0.99209994,-0.7411857
91_304,0,2.403389,2.3060138,2.286784,-0.36916593,-0.31120744,-0.62354773,0.59554183,-0.50384647,1.6358262,1.3739659,1.1418896,1.2869357,1.0641807,0.9690839,-0.1583323,0.6173847,-0.62699455
91_308,0,2.1608634,2.1254423,2.0933635,-0.36916593,0.8188287,0.84358066,0.37758186,-0.5429422,1.6392213,1.4109671,1.1963117,1.331,1.1236074,1.0360636,-0.1604427,-0.076936655,-0.7889335
91_320,0,2.338653,2.2741842,2.2531831,-0.36916593,0.787541,3.033141,0.812795,-0.5288848,1.7611144,1.5108318,1.2812473,1.4251249,1.2032046,1.1078657,-0.15919195,0.04841841,-0.8091469
91_323,0,2.906501,2.691029,2.6934412,-0.36916593,-1.0876153,-0.054056287,0.52624327,-0.48632818,1.760293,1.4301019,1.1608309,1.3285794,1.071121,0.95906377,-0.15119839,2.1027966,-0.75059515
91_334,0,2.5891535,2.4602647,2.4534962,-0.36916593,0.7275678,0.03723831,0.6651353,-0.5041883,1.7261783,1.4408548,1.1938008,1.3479985,1.1107028,1.0078249,-0.15395188,0.55681324,-0.6146447
91_344,0,1.9490638,1.7814382,1.703076,-0.36916593,0.675289,-0.4641718,-2.2418323,-0.5089311,0.7710755,0.5464282,0.3671528,0.47760463,0.31294188,0.25336635,-0.14631143,4.0898786,-0.8919123
91_349,0,3.021431,2.7810087,2.7907975,-0.36916593,-1.5074431,3.1088219,0.26359114,-0.51158017,1.8469762,1.5014575,1.2233863,1.3967938,1.1303852,1.0133976,-0.15085544,1.8196509,-0.71370405
91_409,0,2.9475474,2.7106166,2.7123954,-0.36916593,0.48343268,3.102895,-0.2225963,-0.55960596,1.9234194,1.5873158,1.3142717,1.4845924,1.2231581,1.1086694,-0.15360725,2.3688307,-0.8387027
91_414,0,2.7441916,2.5220876,2.5116515,-0.36916593,0.6044977,-0.8284249,-1.0620803,-0.5672969,1.6591535,1.3460081,1.0916706,1.2498578,1.0084952,0.90499777,-0.1518263,2.9350972,-0.8882781
91_478,0,3.039726,2.7865179,2.7963977,-0.36916593,0.8723409,1.8228037,0.5907521,-0.5401649,2.0848482,1.7374715,1.4562495,1.6319686,1.361694,1.2417713,-0.15649477,3.0536902,-1.0594891
91_70251,0,0.4075944,0.7316748,0.8811463,8.743359,0.34828043,-0.5405969,0.35802814,5.9385285,-2.7139378,-2.7456903,-2.7732797,-2.7563088,-2.781533,-2.7943676,5.103924,2.6174786,5.576336
91_70256,0,2.7256622,2.5202513,2.5073438,-0.36858037,-0.69862336,0.3363553,-0.94691,1.7499892,-1.2517688,-1.5816674,-1.8055819,-1.6703243,-1.8695817,-1.9388502,1.5633417,3.3799582,4.4300222
91_70257,0,0.84995764,1.0671095,1.125399,0.3861845,0.73169667,-0.7862749,1.714791,2.5212214,-1.4171404,-1.4984009,-1.5752298,-1.527129,-1.5997213,-1.6274753,0.4024391,0.8215975,1.7649982
91_70258,0,2.5748458,2.3966057,2.3768172,-0.36916593,0.4132272,-0.46598846,-0.35224056,1.6991006,-1.130478,-1.4394525,-1.6535058,-1.5242134,-1.7146167,-1.780296,0.9768408,2.8894124,3.0690742
91_70259,0,2.6529512,2.4988275,2.48882,-0.36916593,-0.16875766,1.5251955,-0.48847035,0.9708095,-0.7379671,-1.050581,-1.276536,-1.139022,-1.3440127,-1.4190346,0.5450526,2.0555868,2.7832003
91_70260,0,1.2538545,1.4049925,1.4351304,-0.06997451,0.0010768331,-0.7727224,0.46039456,1.086473,-0.9687206,-1.0976735,-1.2127252,-1.1410024,-1.2490709,-1.2898979,0.18988301,1.4173622,1.4213507
91_70262,0,2.4793835,2.3378434,2.320385,-0.36916593,0.7685575,-0.9953915,0.38945305,0.9725186,-0.5585773,-0.84941775,-1.0626141,-0.93256336,-1.1262592,-1.1969838,0.24286364,1.8686604,1.3265558
