ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_320,0,1.5850999999999997,0.7408999999999999,1.0916,-9.000000000000002,0.9842046499999999,0.733813329,-18.66045537,0.5909,-14.6812,-15.073,-15.9294,-15.5254,-16.2663,-16.617,0.019615000000000007,0.0173065,30.905700000000003
91_323,0,1.8272,0.8089999999999999,1.1938,-9.000000000000002,0.8050554389999999,0.20133202500000003,-18.8026069,0.6904999999999999,-14.6827,-15.2194,-16.15,-15.7009,-16.5099,-16.8947,0.04800399999999999,0.0337425,32.56839999999999
91_334,0,1.6919,0.7713,1.1381,-9.000000000000002,0.9784749149999998,0.21707856200000006,-18.73370583,0.6487,-14.745,-15.1999,-16.0896,-15.6656,-16.4369,-16.8037,0.038224999999999995,0.0213739,36.428999999999995
91_344,0,1.419,0.6604,0.9639,-9.000000000000002,0.973480284,0.130595098,-20.17578378,0.6376,-16.4892,-16.8219,-17.604,-17.2478,-17.9082,-18.2117,0.06536,0.0496401,28.5554
91_349,0,1.8762,0.8237,1.2164,-9.000000000000002,0.764945805,0.7468667980000001,-18.93290243,0.6314,-14.5244,-15.09,-16.0354,-15.5769,-16.4006,-16.7933,0.04922200000000001,0.0314772,33.616
91_409,0,1.8447,0.8122,1.1982,-9.000000000000002,0.955150664,0.745844562,-19.17408853,0.519,-14.3848,-14.9343,-15.8689,-15.4173,-16.2295,-16.6155,0.03944899999999999,0.0358709,30.066400000000005
91_414,0,1.758,0.7814,1.1516,-9.000000000000002,0.966717005,0.06776855299999998,-19.59053669,0.5010000000000001,-14.8674,-15.3719,-16.2767,-15.844,-16.6254,-16.9956,0.04577400000000001,0.0404013,28.658599999999996
91_478,0,1.884,0.8246,1.2177,-9.000000000000002,0.9923062920000001,0.525053759,-18.77060559,0.5644999999999999,-14.09,-14.662,-15.6088,-15.1494,-15.974,-16.3671,0.029194,0.0413501,23.7967
91_70251,0,0.7618,0.4889,0.7731,8.402228004000005,0.94223845,0.11741326399999999,-18.88605446,15.727299999999996,-22.8535,-22.792,-23.3572,-23.1264,-23.6153,-23.8995,18.7115,0.0378602,212.23499999999996
91_70256,0,1.7501,0.7811,1.1506,-8.998881749000002,0.842219055,0.268670408,-19.53340345,5.9243999999999994,-20.1833,-20.6811,-21.5844,-21.1523,-21.9334,-22.3029,6.137170000000001,0.0439604,179.68299999999994
