ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_621174,0,0.3937,0.3219,0.5029,-8.719295611,0.941934824,0.548213347,-19.49490719,1.1357,-18.6068,-18.3994,-18.8066,-18.6786,-19.0005,-19.1815,0.059932,0.0159341,58.8335
91_622154,0,0.4454,0.3209,0.5039,-7.994822203,0.931512654,0.069338134,-18.61185772,2.9372,-19.6606,-19.5028,-19.9126,-19.7851,-20.106,-20.289,0.264029,0.0201806,61.5283
91_622485,0,0.6672,0.433,0.6711,-8.416907297,0.976317883,0.152281568,-18.97899991,2.3907,-19.1656,-19.0816,-19.5971,-19.3998,-19.8328,-20.0709,0.370835,0.0241477,66.5071
91_622948,0,0.3846,0.2982,0.47,-8.701308685,0.875909507,0.331180215,-18.79819136,1.4518,-18.4405,-18.2528,-18.6402,-18.5269,-18.8251,-18.9969,0.056659,0.0154395,56.3321
91_623196,0,0.4933,0.3259,0.5013,-8.888505616,0.939587116,0.330035763,-20.11604098,0.5222,-17.4614,-17.3423,-17.7616,-17.6288,-17.9547,-18.1301,0.021214,0.0149474,41.1934
91_623349,0,0.5812,0.3734,0.5813,-8.355606911,0.968840599,0.082622233,-18.28450766,3.2506,-19.3213,-19.2278,-19.6903,-19.5291,-19.9025,-20.1104,0.321214,0.021335,62.6853
91_623350,0,0.6074,0.3906,0.5951,-8.898595925,0.861852705,0.735447445,-19.90730732,0.6764,-17.5386,-17.4469,-17.9287,-17.7554,-18.146,-18.3505,0.05589,0.0251015,42.9704
91_623660,0,0.3264,0.248,0.393,-8.857434162,0.984851182,0.504955596,-19.23589651,0.7014,-17.5116,-17.3299,-17.674,-17.59,-17.838,-17.983,0.019182,0.0118736,42.0877
91_623808,0,0.1909,0.2144,0.3513,-8.569006126,0.95657146,0.143098464,-19.02397631,1.2299,-18.6229,-18.3538,-18.6597,-18.5994,-18.8138,-18.9507,0.053177,0.0160526,55.8095
91_623958,0,0.4565,0.3442,0.5506,-7.98159042,0.930050969,0.412532281,-18.5373023,3.3051,-19.7337,-19.5599,-19.9856,-19.846,-20.1902,-20.3966,0.441245,0.0227534,68.2544
91_624051,0,0.3101,0.271,0.4397,-8.496090791,0.948615909,0.116021719,-19.17369524,1.4084,-18.8154,-18.5914,-18.9489,-18.8545,-19.1255,-19.2942,0.073048,0.0155961,50.6417
91_624052,0,0.6503,0.4281,0.6515,-8.962474911,0.711660445,0.538142833,-18.87693641,0.7437,-16.68,-16.5833,-17.0985,-16.9022,-17.3303,-17.5537,0.025277,0.0148813,41.7568
91_624197,0,0.1541,0.158,0.2674,-8.461749833,0.974080682,0.340153963,-20.46034838,0.5678,-18.509,-18.2717,-18.5329,-18.5051,-18.6631,-18.7725,0.031131,0.0163486,42.0995
