SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,SFR,BulgeMass,EffectiveRadius,VelocityDispersion,Metallicity,ID,phase_5
0,91,1,68.59751477587989,-4.10877272711426,-4.273832232001124,-4.313679817329841,-4.3256436994609695,2.2571794891069126,2.2485743066489725,-0.20343358399780778,78.52632437815622,19.44618941304887,15.536792558432124,1.8754089009583743,91_0,3.0
2,91,1,2.525804007341575,-2.173723523019676,-2.350986889176913,-2.406394157448851,-2.4370514476885625,2.151188912860654,2.1325176401082357,-0.3690655388567069,0.2760428762328614,3.4380257838238064,3.410077821182659,1.2331025262992958,91_2,3.0
3,91,0,1.346497490477114,-1.5559663015628984,-1.7637488978979812,-1.837272874959323,-1.8824405036396656,2.4006473961805774,2.397259003996536,-0.3690655388567069,0.4610105983775731,1.67723506285467,3.1353072322280315,1.902428188427323,91_3,0.0
4,91,0,1.3817164039628407,-1.5270184998905976,-1.7367836073229017,-1.8110919896420437,-1.857592728605668,2.4182148950059243,2.413366512875855,-0.3690655388567069,0.49481605213114027,1.72685125145439,3.679524086620533,1.6274032640180651,91_4,0.0
5,91,0,1.5322645960584156,-1.49996343909687,-1.7202192145410664,-1.8001515365260918,-1.8517841578184977,2.5265478044288954,2.531075231609343,-0.3690655388567069,0.5877755584892276,1.398398138954239,4.245961117822956,1.8429090277959261,91_5,0.0
7,91,0,0.8319671074154665,-1.3258312782681057,-1.5303615564104012,-1.6037676815890003,-1.6485379633304482,2.3379899837035074,2.3328289684792582,-0.3690655388567069,0.24627238142184021,1.6912504465567704,2.728493420057899,1.4440959411895098,91_7,0.0
8,91,0,0.6458594598009548,-1.423585777761491,-1.6241897613706282,-1.694938124221935,-1.7383556782801814,2.3081252357004183,2.2993749115760567,-0.3690655388567069,0.12371489671338244,1.849269572062243,2.0190805546855697,1.2199399863254101,91_8,0.0
9,91,0,0.7403670260188099,-1.5815739722730124,-1.7476247547581871,-1.802492031471296,-1.8358105881537854,1.9597031756643755,1.943357664038281,-0.31354389696929796,0.002015939073060199,2.248967551714738,1.955046690524073,0.9839185634348849,91_9,0.0
10,91,0,0.5516981589820152,-1.1764717554089066,-1.380016303653018,-1.4534861340609218,-1.4981605196181975,2.3092964022887745,2.3006139507206202,-0.3690655388567069,0.2939450495981357,0.9526310739846544,2.2380167376945024,1.8864340125117962,91_10,0.0
11,91,0,0.18269941197001735,-1.3355176580584538,-1.4609672065835135,-1.5072630876856021,-1.535324616043508,1.4976779565577578,1.5286925636578548,-0.035100248583209835,-0.02968587835978657,1.3917365059600306,1.3467853233230405,1.0273430707463738,91_11,0.0
12,91,0,0.29208208278960995,-1.9742063668782786,-1.914699493913173,-1.8903422370889416,-1.875717620784147,-0.39258491704954585,-0.3030203050544855,2.73822843004173,-0.021709045017468738,2.4529692478230896,1.4785765285587515,0.32723478563986175,91_12,0.0
15,91,0,0.21441560748017938,-1.13778190509689,-1.26390046056441,-1.303748887682891,-1.3289052208476513,1.4806960410265892,1.4514591236467593,-0.28761678965755905,0.06259439301282585,0.6117198426381918,1.2408241862416094,1.2359524308599152,91_15,0.0
17,91,0,0.21758923021210022,-0.941604879917681,-1.1399701863295528,-1.2121430041299177,-1.256567001322267,2.225557991221289,2.21181614536027,-0.3690655388567069,0.10938521651905658,0.8081947586102298,1.519247261128731,1.240035467201572,91_17,0.0
18,91,0,0.09620202375293392,-1.01174763012364,-1.121094482926998,-1.16310147051065,-1.1908440985267112,1.2868679706535975,1.3192949482267031,-0.139561676969493,-0.028035887674281702,0.9633588985467559,0.9636399039593861,1.01043546388193,91_18,0.0
19,91,0,0.3334021357538132,-1.022658724600123,-1.2276348963011907,-1.3023337046927674,-1.3497730492311815,2.3057829025237053,2.2948317680459924,-0.3690655388567069,0.16301840444649343,0.6005594445050375,1.8673018389679639,1.736247695890951,91_19,0.0
20,91,0,0.3272008368617864,-0.8332176301946611,-1.0584139401412507,-1.1447040916390492,-1.2033755521694,2.497854223014162,2.504229383477144,-0.3690655388567069,0.15579839625491085,0.5834727884484645,2.531777413858887,1.3994748393349403,91_20,0.0
