[Fold 1][Epoch 041] train_loss=0.6739 acc=0.6899 f1=0.6846 | val_loss=0.6980 acc=0.6645 f1=0.6598 | epoch_time=5.79s
[Fold 1][Epoch 042] train_loss=0.6646 acc=0.6897 f1=0.6848 | val_loss=0.6912 acc=0.6877 f1=0.6870 | epoch_time=5.79s
[Fold 1][Epoch 043] train_loss=0.6652 acc=0.6913 f1=0.6898 | val_loss=0.6875 acc=0.6700 f1=0.6620 | epoch_time=5.80s
[Fold 1][Epoch 044] train_loss=0.6579 acc=0.6999 f1=0.6952 | val_loss=0.6924 acc=0.6700 f1=0.6648 | epoch_time=5.79s
[Fold 1][Epoch 045] train_loss=0.6615 acc=0.7016 f1=0.6976 | val_loss=0.6922 acc=0.6622 f1=0.6560 | epoch_time=5.82s
[Fold 1][Epoch 046] train_loss=0.6575 acc=0.7016 f1=0.6977 | val_loss=0.6812 acc=0.6888 f1=0.6858 | epoch_time=5.80s
[Fold 1][Epoch 047] train_loss=0.6589 acc=0.6977 f1=0.6950 | val_loss=0.6862 acc=0.6700 f1=0.6636 | epoch_time=5.83s
[Fold 1][Epoch 048] train_loss=0.6590 acc=0.6947 f1=0.6908 | val_loss=0.6798 acc=0.6822 f1=0.6769 | epoch_time=5.77s
[Fold 1][Epoch 049] train_loss=0.6598 acc=0.6958 f1=0.6921 | val_loss=0.6846 acc=0.6711 f1=0.6624 | epoch_time=5.77s
[Fold 1][Epoch 050] train_loss=0.6514 acc=0.7052 f1=0.7019 | val_loss=0.6881 acc=0.6611 f1=0.6527 | epoch_time=5.79s
[Fold 1][Epoch 051] train_loss=0.6467 acc=0.7021 f1=0.6983 | val_loss=0.6821 acc=0.6866 f1=0.6813 | epoch_time=5.78s
[Fold 1][Epoch 052] train_loss=0.6523 acc=0.6894 f1=0.6863 | val_loss=0.6957 acc=0.6689 f1=0.6624 | epoch_time=5.78s
[Fold 1][Epoch 053] train_loss=0.6494 acc=0.6980 f1=0.6935 | val_loss=0.6909 acc=0.6800 f1=0.6739 | epoch_time=5.77s
[Fold 1][Epoch 054] train_loss=0.6450 acc=0.7135 f1=0.7113 | val_loss=0.6748 acc=0.6955 f1=0.6902 | epoch_time=5.81s
[Fold 1][Epoch 055] train_loss=0.6371 acc=0.7107 f1=0.7075 | val_loss=0.6730 acc=0.6866 f1=0.6820 | epoch_time=5.79s
[Fold 1][Epoch 056] train_loss=0.6389 acc=0.7129 f1=0.7101 | val_loss=0.6739 acc=0.6910 f1=0.6869 | epoch_time=5.78s
[Fold 1][Epoch 057] train_loss=0.6350 acc=0.7160 f1=0.7150 | val_loss=0.6768 acc=0.6733 f1=0.6653 | epoch_time=5.79s
[Fold 1][Epoch 058] train_loss=0.6370 acc=0.7113 f1=0.7069 | val_loss=0.6779 acc=0.6833 f1=0.6780 | epoch_time=5.78s
[Fold 1][Epoch 059] train_loss=0.6396 acc=0.7088 f1=0.7075 | val_loss=0.6711 acc=0.6822 f1=0.6776 | epoch_time=5.76s
[Fold 1][Epoch 060] train_loss=0.6332 acc=0.7182 f1=0.7127 | val_loss=0.6737 acc=0.6888 f1=0.6828 | epoch_time=5.78s
[Fold 1][Epoch 061] train_loss=0.6354 acc=0.7107 f1=0.7080 | val_loss=0.6720 acc=0.6921 f1=0.6885 | epoch_time=5.78s
[Fold 1][Epoch 062] train_loss=0.6343 acc=0.7152 f1=0.7117 | val_loss=0.6660 acc=0.6977 f1=0.6943 | epoch_time=5.80s
[Fold 1][Epoch 063] train_loss=0.6301 acc=0.7182 f1=0.7172 | val_loss=0.6678 acc=0.6944 f1=0.6890 | epoch_time=5.79s
[Fold 1][Epoch 064] train_loss=0.6256 acc=0.7210 f1=0.7175 | val_loss=0.6692 acc=0.6899 f1=0.6873 | epoch_time=5.80s
[Fold 1][Epoch 065] train_loss=0.6296 acc=0.7127 f1=0.7105 | val_loss=0.6664 acc=0.6977 f1=0.6941 | epoch_time=5.77s
[Fold 1][Epoch 066] train_loss=0.6280 acc=0.7182 f1=0.7155 | val_loss=0.6685 acc=0.6899 f1=0.6839 | epoch_time=5.77s
[Fold 1][Epoch 067] train_loss=0.6267 acc=0.7171 f1=0.7131 | val_loss=0.6668 acc=0.6977 f1=0.6949 | epoch_time=5.80s
[Fold 1][Epoch 068] train_loss=0.6239 acc=0.7210 f1=0.7182 | val_loss=0.6660 acc=0.6988 f1=0.6932 | epoch_time=5.79s
[Fold 1][Epoch 069] train_loss=0.6224 acc=0.7201 f1=0.7161 | val_loss=0.6644 acc=0.6955 f1=0.6918 | epoch_time=5.81s
[Fold 1][Epoch 070] train_loss=0.6212 acc=0.7235 f1=0.7217 | val_loss=0.6678 acc=0.6910 f1=0.6866 | epoch_time=5.81s
[Fold 1][Epoch 071] train_loss=0.6197 acc=0.7204 f1=0.7188 | val_loss=0.6658 acc=0.6910 f1=0.6880 | epoch_time=5.77s
[Fold 1][Epoch 072] train_loss=0.6155 acc=0.7188 f1=0.7169 | val_loss=0.6644 acc=0.6944 f1=0.6897 | epoch_time=5.79s
[Fold 1][Epoch 073] train_loss=0.6168 acc=0.7201 f1=0.7166 | val_loss=0.6665 acc=0.6822 f1=0.6764 | epoch_time=5.78s
