SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,EffectiveRadius,VelocityDispersion,Metallicity,SFR,BulgeMass
698145,91,0,9.075786103,-17.8424,-18.2332,-18.4617,-18.6357,0.3908,0.6193,1.0756,48.8716,0.0205261,-0.83520932,8.501430163
698172,91,0,8.861966489,-17.7037,-18.0387,-18.2386,-18.3893,0.335,0.5349,1.075,49.0651,0.017041,-0.927370946,8.208062818
698255,91,0,8.875009971,-18.1032,-18.359,-18.5219,-18.6506,0.2558,0.4187,1.2149,48.2935,0.0161873,-0.549944472,8.071919291
698345,91,0,9.525228492,-18.463,-19.0289,-19.3135,-19.5214,0.5659,0.8505,1.3413,52.3352,0.0244098,-0.910588471,8.949707879
698356,91,0,8.615971474,-17.9968,-18.1939,-18.3199,-18.4208,0.1971,0.3231,1.0238,40.1926,0.0141899,-0.597362222,7.911560777
698405,91,0,8.576392705,-17.9686,-18.2536,-18.4237,-18.5529,0.285,0.4551,0.8274,47.0793,0.014038,-0.723704666,7.836057379
698562,91,0,8.852841104,-18.5089,-18.9197,-19.1339,-19.2868,0.4108,0.625,1.2941,47.9362,0.0137979,-0.698737417,7.818132845
698594,91,0,8.888734665,-18.5054,-18.7596,-18.9129,-19.0315,0.2542,0.4075,1.5293,42.7869,0.0145639,-0.459795476,7.917501185
698713,91,0,8.953686517,-18.1386,-18.4969,-18.6994,-18.8537,0.3583,0.5608,1.4757,46.7033,0.0174055,-0.698769433,7.600165515
698751,91,0,8.60361193,-17.8058,-18.1123,-18.2868,-18.4167,0.3065,0.481,0.8819,43.332,0.014301,-0.794398709,7.425935118
698876,91,0,8.929494345,-17.986,-18.4287,-18.6706,-18.8472,0.4427,0.6846,0.9872,46.1842,0.0172474,-0.909980825,8.787991229
698922,91,0,8.543554845,-17.4663,-17.8325,-18.0324,-18.1758,0.3662,0.5661,0.7708,45.204,0.0138534,-1.104230903,7.654886906
699100,91,0,8.39311776,-17.9572,-18.2551,-18.426,-18.5524,0.2979,0.4688,0.7268,46.9206,0.013994,-0.764168375,8.115360168
699272,91,0,8.674318358,-17.9297,-18.2703,-18.4625,-18.6054,0.3406,0.5328,0.9947,46.2141,0.0150382,-0.851839684,7.538091901
699317,91,0,8.461543806,-18.3804,-18.5918,-18.722,-18.8236,0.2114,0.3416,0.7224,45.1579,0.0121048,-0.475665276,7.632559566
699388,91,0,8.457895746,-17.2424,-17.6086,-17.8041,-17.9423,0.3662,0.5617,0.7282,45.8758,0.0135602,-1.114890144,7.886186226
699464,91,0,8.804004746,-18.2738,-18.5724,-18.7436,-18.8741,0.2986,0.4698,1.1366,45.3418,0.0151925,-0.570422916,8.521227575
699510,91,0,8.767595112,-17.6582,-18.0234,-18.2235,-18.369,0.3652,0.5653,0.9642,45.9163,0.0155885,-0.95482316,7.737046155
699635,91,0,8.239155711,-17.9974,-18.1787,-18.2936,-18.381,0.1813,0.2962,0.6767,43.4859,0.00866727,-0.632871673,7.253958138
699704,91,0,8.60741228,-17.8772,-18.1454,-18.299,-18.414,0.2682,0.4218,0.8654,45.9858,0.0132314,-0.668362228,7.959020506
699746,91,0,8.372160482,-18.0454,-18.2968,-18.4419,-18.5482,0.2514,0.3965,0.7313,45.379,0.011034,-0.722343731,7.761155013
699967,91,0,8.851606761,-17.0736,-17.5804,-17.8427,-18.0317,0.5068,0.7691,0.8675,46.6372,0.0204368,-1.371879823,8.359737416
700294,91,0,8.86347038,-17.9387,-18.3069,-18.511,-18.6639,0.3682,0.5723,1.0847,48.0594,0.0176279,-0.887397907,8.318295627
700333,91,0,8.756517749,-17.818,-18.2206,-18.4331,-18.5869,0.4026,0.6151,1.0057,47.4037,0.0159898,-1.019850744,7.885609169
700605,91,0,9.038750243,-18.048,-18.4253,-18.638,-18.7986,0.3773,0.59,1.4147,47.7328,0.0164757,-0.674599822,8.033746517
700644,91,0,8.499223444,-17.8726,-18.1657,-18.3316,-18.4533,0.2931,0.459,0.8261,47.8806,0.0116265,-0.767962727,7.795869775
700676,91,0,9.117171446,-17.8643,-18.271,-18.5023,-18.6818,0.4067,0.638,1.3775,45.8405,0.0205455,-0.8862973,8.376081767
701115,91,0,8.689415568,-17.5563,-17.8898,-18.0784,-18.2187,0.3335,0.5221,0.9941,43.6856,0.0150029,-0.888159839,7.659232504
701176,91,0,8.547988601,-17.6283,-17.9618,-18.144,-18.2743,0.3335,0.5157,0.7493,45.3007,0.0127336,-0.90725245,7.954927312
701218,91,0,8.581127865,-17.6445,-17.9411,-18.1127,-18.2395,0.2966,0.4682,0.8793,46.4739,0.0140476,-0.884174102,8.08414547
701316,91,0,8.948498729,-18.2326,-18.554,-18.7437,-18.8871,0.3214,0.5111,1.2105,43.3548,0.0182775,-0.659473312,8.61462458
701420,91,0,8.639873929,-17.9982,-18.3314,-18.52,-18.6552,0.3332,0.5218,0.8923,45.5026,0.0120879,-0.702687181,7.868398048
701658,91,0,9.057148858,-18.54,-18.831,-19.0109,-19.1505,0.291,0.4709,1.6124,47.2858,0.0168018,-0.520630607,8.161553542
701833,91,0,8.771486148,-16.7874,-17.4035,-17.7003,-17.9083,0.6161,0.9129,0.8413,42.6097,0.0199984,-1.964263322,7.555298306
701892,91,0,8.280618959,-17.7463,-17.9778,-18.1084,-18.2016,0.2315,0.3621,0.4409,39.5591,0.0102649,-0.831239606,7.830993221
701976,91,0,8.842719395,-17.281,-17.7451,-17.9883,-18.1632,0.4641,0.7073,0.9131,44.6569,0.0174617,-1.236801966,8.196847898
702266,91,0,8.569727332,-18.0976,-18.4656,-18.6594,-18.7968,0.368,0.5618,0.4586,42.4927,0.0148015,-0.799920202,8.034692687
702293,91,0,9.256684233,-18.3567,-18.718,-18.9317,-19.097,0.3613,0.575,1.6952,46.41,0.0210734,-0.603040154,8.520514893
