SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,EffectiveRadius,VelocityDispersion,Metallicity,SFR,BulgeMass
313960,91,0,0.48347807366391654,0.3763359993589671,0.14713298917941944,0.05643363312304954,-0.0031516697853080674,3.1706070025919546,3.1128233225366033,-0.15954360054341118,-0.08699614111168873,0.9613416760631541,-3.258983506448114,0.18317989561838163
313962,91,0,-0.3927055688321769,0.09271066087274928,0.09479435293706692,0.10050697521847224,0.10362701910584843,-0.05968052346881563,-0.11333055527114644,-0.4099422515397616,-0.6026258333231167,-0.41993565982321757,-0.35790864777205805,-0.7423151686101267
313964,91,0,-0.39217702654736136,1.1699962072504035,0.9905483044598287,0.9181749670448863,0.8712247637762396,2.2013641627317426,2.129026652382225,-0.49481173378734766,-0.34702369126431915,-0.08075642580286037,-3.5040752520609613,0.20399796892069944
318064,91,0,2.237175839762663,-1.4961711999509426,-1.679539935091434,-1.7504121488547688,-1.7978713309841896,3.1134545572690175,3.134127081634894,1.4484720807120686,5.291206958608428,2.6831733578451478,0.6341923188113414,2.7983047852963816
318065,91,0,1.1054767695115792,-0.16660074769211686,-0.3889018770026737,-0.47599383858091826,-0.5365679502887478,3.2457663827426653,3.205685862195817,-0.05198331922268579,0.763264409449207,1.8882910654889196,-1.3612005272151135,1.4783846296068972
318066,91,0,-0.597742557255379,0.44727021692768,0.413787436951655,0.40294684835376626,0.4006350703313986,0.33725495295212704,0.2859783652634734,-0.45814441283613366,-0.5172072420688736,-0.7293245603490974,-0.7019393596219525,-0.4769330506607627
318068,91,0,-0.05099599155993983,0.6891269005719424,0.523916650711604,0.456103598759099,0.4143137702985876,2.151257909297935,2.114824146316698,-0.3595088984977932,-0.4722173789938811,0.10071325609690532,-1.2831096208094477,0.14395148669672342
318070,91,0,0.2343321908481633,-0.050217326256659506,-0.0664740699846815,-0.08556852518927391,-0.10431042768219495,0.24956900944296417,0.3777484044561079,-0.11584592069569577,0.02839307105889768,0.6161885953715625,0.26726866885776485,-0.2960047350010743
318071,91,0,0.584982127007755,-0.873210394557798,-0.7426238269405732,-0.702649062503351,-0.691063034414286,-1.5949674450890703,-1.4123136100335625,-0.41794086345793685,-0.2137649740949877,5.03915704230072,1.1975942191418076,-0.044731352387777736
321719,91,0,-0.2056130840770627,-0.19202999549976643,-0.22130920220164027,-0.22778567541425937,-0.2263583630483532,0.48209334178422664,0.43401217848492624,-0.3303771119326496,-0.21149333604197942,-0.5446988839815098,0.15149987319492544,-0.8169841792802061
