epoch,depth,train_macroF1,valid_macroF1,time_sec
1,2,0.45353969602160704,0.444272929152277,0.06245398102328181
2,3,0.5455572017066181,0.5228826252198446,0.08418150525540113
3,4,0.6009619315640568,0.577863680081159,0.10530243394896388
4,5,0.6288429330267628,0.5841697628914807,0.12498008972033858
5,6,0.6609648623070571,0.611139166201396,0.14315327117219567
6,7,0.7034888673355417,0.6101043691952038,0.159718694165349
7,8,0.747617205251905,0.6368255550924896,0.17496689222753048
8,9,0.7959000822396619,0.6481293384048553,0.18759429035708308
9,10,0.8395853559828484,0.6537827684383152,0.20189584465697408
10,11,0.8771367449868009,0.6696799654676077,0.20825459202751517
11,12,0.9119456729774452,0.6760140465598758,0.2157979249022901
12,13,0.9395846852901691,0.6830519231833906,0.2213964583352208
13,14,0.961402371421012,0.6908296113538255,0.22509385412558913
14,15,0.9771542781541745,0.6933708671573432,0.22756944689899683
15,16,0.9864059804254299,0.6860367000211328,0.22886430798098445
16,17,0.992235075911519,0.6904614708968639,0.23003421258181334
17,18,0.9952424713050236,0.6869960035642718,0.2301173871383071
18,19,0.9973509416913042,0.6939033208113631,0.23171704402193427
19,20,0.9980480852269935,0.6954446786445616,0.23082053707912564
20,21,0.9989571948442665,0.6912020692990382,0.2306955298408866
21,22,0.9991033743438955,0.6904069715778488,0.2308218590915203
22,23,0.9995298603640886,0.6892518392098987,0.23099135095253587
23,24,0.9996767674736873,0.687194800904214,0.23073397716507316
24,25,0.9996776463536486,0.6934210107362041,0.23077886505052447
