epoch,depth,train_macroF1,valid_macroF1,time_sec
1,2,0.4499166684357066,0.44029383205903105,0.05715049523860216
2,3,0.5302683801062147,0.5096673918864084,0.07652546837925911
3,4,0.5840319672266936,0.5490895801213249,0.09565882012248039
4,5,0.623402503135148,0.5786586972619538,0.11396563984453678
5,6,0.6615626717407854,0.5926703591568546,0.13104220386594534
6,7,0.7039157397959033,0.609658419266742,0.14684456679970026
7,8,0.7460384894670514,0.617387629575236,0.16118604084476829
8,9,0.7915965356465596,0.6320020229869412,0.1741340458393097
9,10,0.8377981505637596,0.6394698635588705,0.18390481220558286
10,11,0.8792965762633411,0.643055192338509,0.194531193934381
11,12,0.9129871285664374,0.6470397803383934,0.1996557591482997
12,13,0.9407573921011462,0.6513176315705805,0.20374654093757272
13,14,0.9589738083653707,0.6534865191104589,0.20729716774076223
14,15,0.9728493582121388,0.6511406690392485,0.2109933621250093
15,16,0.9851796949504543,0.6569546505999304,0.21095509408041835
16,17,0.9914910146157009,0.6627189419200289,0.21215507481247187
17,18,0.9948064772280238,0.6583178386783274,0.2131438199430704
18,19,0.997032691436398,0.6559869313948202,0.21399269625544548
19,20,0.9981865739738781,0.6581408792889849,0.21480076061561704
20,21,0.998517578447675,0.6566184131245225,0.21476282505318522
21,22,0.9989016563272803,0.6587141209624983,0.21456317696720362
